,City,Cloudiness,Date,Country,Humidity,Lat,Lon,Max Temp,Wind MPH
313,shelburne,20,1594920854,CA,83,44.08,-80.2,296.48,1.0
314,bundaberg,0,1594920854,AU,70,-24.85,152.35,284.82,4.6
315,huinan,1,1594920854,CN,83,42.62,126.26,292.09,2.0
316,santa marta,75,1594920652,CO,66,11.24,-74.2,306.15,3.1
317,lithgow,90,1594920854,AU,71,-33.48,150.15,284.82,1.5
318,lubyany,75,1594920854,RU,78,56.04,51.4,296.15,5.0
319,kalabo,13,1594920854,ZM,38,-14.97,22.68,290.59,4.35
320,siddipet,41,1594920854,IN,80,18.1,78.85,296.43,7.6
321,cavalcante,0,1594920854,BR,30,-13.8,-47.46,300.99,3.77
322,chitungwiza,22,1594920855,ZW,65,-18.01,31.08,280.39,3.13
323,siderno,0,1594920855,IT,57,38.28,16.3,300.15,6.2
324,beberibe,20,1594920855,BR,55,-4.18,-38.13,303.15,7.2
325,brae,75,1594920699,GB,100,60.4,-1.35,286.15,6.7
326,guerrero negro,5,1594920343,MX,57,27.98,-114.06,297.54,6.31
327,kismayo,78,1594920855,SO,72,-0.36,42.55,298.61,10.06
328,chhuikhadan,61,1594920855,IN,67,21.53,80.98,301.92,4.89
329,heidelberg,0,1594920855,ZA,29,-26.5,28.36,283.15,1.39
330,vila franca do campo,75,1594920354,PT,64,37.72,-25.43,296.15,6.7
331,chapais,90,1594920855,CA,93,49.78,-74.85,290.15,3.6
332,calama,29,1594920855,CL,6,-22.47,-68.93,297.15,3.6
333,kibala,20,1594920855,TD,78,9.11,18.35,297.15,0.99
334,richards bay,0,1594920723,ZA,72,-28.78,32.04,287.32,1.19
335,xiamen,97,1594920855,CN,79,24.48,118.08,302.15,2.0
336,sylacauga,1,1594920773,US,66,33.17,-86.25,303.15,2.1
337,rauma,0,1594920576,FI,60,61.13,21.51,293.15,4.6
338,polunochnoye,99,1594920855,RU,94,60.87,60.42,290.81,0.84
339,goure,64,1594920856,NE,51,13.98,10.27,305.93,0.89
340,ponta do sol,1,1594920325,PT,60,32.67,-17.1,296.48,0.71
341,port hardy,90,1594920262,CA,93,50.7,-127.42,288.15,3.1
342,egvekinot,72,1594920349,RU,91,66.32,-179.17,282.51,0.66
343,joensuu,36,1594920856,FI,40,62.6,29.76,293.71,2.6
344,anahuac,40,1594920370,MX,52,27.23,-100.15,307.15,4.6
345,belmonte,75,1594920704,BR,88,-15.86,-38.88,295.15,2.1
